id,model,price,ram,cpu,weight,layer
448,Dell Inspiron 5570,749,4,1.6,2.2,23
449,Lenovo ThinkPad X270,1429,8,2.5,1.36,6
450,Lenovo IdeaPad 320-15IAP,349,4,1.1,2.2,13
451,HP Omen 15-AX205na,1099,8,2.8,2.2,4
452,Dell Latitude 5480,1179,8,2.8,1.64,2
453,Acer Aspire ES1-572,441.8,4,2.5,2.4,6
454,Dell Precision 3520,1993,8,3,2.23,3
455,MSI GV62 7RD-1686NL,1027.74,8,2.5,2.2,15
456,Microsoft Surface Laptop,2589,16,2.5,1.25,5
457,HP 15-bs024nv (i5-7200U/8GB/128GB/W10),589,8,2.5,1.91,3
458,Dell Precision 3520,1975,16,2.7,2.17,6
459,HP ProBook 650,1534,8,2.9,2.31,4
460,Lenovo ThinkPad T470,1345,8,2.5,1.65,10
461,Dell Inspiron 5570,979,8,1.8,2.36,16
462,Dell Inspiron 3168,479,4,1.6,1.47,8
463,Dell Alienware 17,2046,8,2.7,4.42,22
464,Microsoft Surface Laptop,989,4,2.2,1.252,1
465,Microsoft Surface Laptop,1799,8,2.5,1.25,6
466,HP 17-BS092ND (i3-6006U/8GB/256GB/W10),639.9,8,2,2.5,9
467,Acer Aspire E5-576G,544,4,2,2.23,19
468,Acer TravelMate B,435,4,1.6,1.4,6
469,Asus Pro P2540UA-AB51,749,8,2.5,2.37,9
470,Lenovo IdeaPad 510s-14IKB,799,8,2.7,1.5,1
471,Lenovo Thinkpad P51,2090,8,2.9,2.67,5
472,Asus X541NA-PD1003Y (N4200/4GB/500GB/W10),304,4,1.1,2,8
473,Acer Aspire 5,469,4,2,2.2,14
474,Dell Inspiron 5570,759,8,1.6,2.02,8
475,HP Omen 17-an006nv,1699,12,2.8,3.78,9
476,Lenovo Thinkpad T460s,1858,12,2.6,1.4,4
477,HP Spectre x360,1999,8,1.8,1.29,10
478,HP ZBook 15u,1154,8,2.5,1.9,10
479,Google Pixelbook (Core,1275,8,1.2,1.1,3
480,Dell Latitude 7390,1841.85,8,1.6,1.42,11
481,Asus ZenBook Pro,1299,12,2.6,2.06,2
482,Dell Latitude E5470,740,8,2.3,1.79,3
483,Dell Precision M5520,2408,8,2.8,1.78,5
484,Lenovo Thinkpad T470,1364,8,2.5,1.7,11
485,Dell Inspiron 3576,675,8,1.6,2.2,8
486,Toshiba Portege X30-D-10J,1672,8,2.5,1.05,3
487,Dell Inspiron 7570,1262,8,1.8,2.16,18
488,Dell Vostro 3568,586.6,4,2.4,2.18,13
489,HP ProBook 430,726,4,1.6,1.49,10
490,Chuwi ""Lapbook 15,1.89,583501,0,10,1
491,Lenovo ThinkPad E570,565,4,2,2.3,20
492,Lenovo ThinkPad E480,1049,8,1.6,1.75,8
493,Dell Precision 3520,2338,16,2.7,2.17,7
494,Dell XPS 15,1899,16,2.8,2.06,4
495,Lenovo Thinkpad X270,1798,16,2.7,1.36,3
496,Asus Zenbook UX390UA,1950,16,2.7,0.91,2
497,Lenovo Thinkpad E570,1011.99,8,2.5,2.3,16
498,Toshiba Portege X30-D-10L,2799,32,2.7,1.05,1
499,Asus VivoBook Pro,1350,8,2.8,1.99,3
500,Acer Aspire 5,579,8,2.5,2.2,4
501,Asus Rog G752VL-UH71T,1269,24,2.6,4.33,1
502,Lenovo Thinkpad X260,1099,8,2.3,1.3,4
503,Lenovo Ideapad 520-15IKBR,898.9,8,1.8,2.17,12
504,HP EliteBook 840,1749,8,2.8,1.48,2
505,Lenovo ThinkPad 13,949,8,2.4,1.4,2
506,Lenovo ThinkPad L570,911,8,2.5,2.3,15
507,Asus VivoBook E201NA,340,4,1.1,1.2,3
508,HP 15-BS026nv (i5-7200U/8GB/256GB/Radeon,618.99,8,2.5,1.91,4
509,Lenovo Yoga 920-13IKB,1599,8,1.6,1.4,9
510,Lenovo IdeaPad 320-14IAP,299,4,1.1,2.1,8
511,Lenovo Chromebook N23,265,4,1.6,1.25,1
512,Lenovo ThinkPad 13,949,8,2.5,1.44,2
513,Asus ZenBook UX510UX-CN211T,1224,8,2.7,2,8
514,Acer Aspire A515-51G-59QF,613,4,1.6,2.2,21
515,HP Envy 13-AB002nv,1323,8,2.7,1.34,3
516,Lenovo Legion Y520-15IKBN,1149,8,2.8,2.4,6
517,Dell XPS 13,899,8,2.5,1.29,1
518,Acer Aspire A515-51G,639,4,2.7,2.2,8
519,Dell Vostro 5568,836,8,2.5,2.18,10
520,Dell Inspiron 5570,1219.24,16,1.8,2.2,3
521,Xiaomi Mi Notebook,1399.95,16,1.8,1.95,4
522,Asus VivoBook E12,245,2,1.1,1.1,2
523,HP 15-bs190od (i5-8250U/4GB/1TB/W10),521.47,4,1.6,2.04,11
524,Asus ROG Zephyrus,2968,24,2.8,2.24,2
525,HP Probook 450,889,8,2.5,2.04,11
526,Asus FX753VE-GC155T (i7-7700HQ/16GB/1TB,1504,16,2.8,3,7
527,Lenovo Legion Y720-15IKB,1399,8,2.8,3.2,17
528,HP Spectre X360,1399,8,2.7,1.32,3
529,Dell Latitude 5480,1279.73,8,2.6,1.64,6
530,HP ProBook 440,689,4,2,1.63,4
531,Dell Inspiron 5770,889,8,1.6,2.8,19
532,Lenovo ThinkPad L470,1340,8,2.3,2.02,14
533,Lenovo IdeaPad 320-15IKB,799,4,2.7,2.2,10
534,Lenovo IdeaPad 320-15ISK,459,8,2,2.2,2
535,Dell Inspiron 3567,585,4,2.5,2.3,14
536,Dell Latitude 5580,1377,8,2.8,1.9,3
537,Dell Alienware 17,3012.77,16,2.8,4.42,20
538,Toshiba Satellite Pro,860,8,2.5,2,9
539,Asus Zenbook UX510UW-FI095T,1299,8,2.7,2,9
540,Mediacom SmartBook Edge,369,4,1.1,1.2,4
541,Asus ROG Strix,1649,8,2.5,2.3,21
542,Dell Latitude 5580,1369,8,2.8,1.93,3
543,Dell Inspiron 5570,797.41,8,1.6,2.2,11
544,HP 250 G6,398.99,4,1.6,1.86,7
545,HP Omen 15-ce006nv,1799,12,2.8,2.62,8
546,Lenovo Thinkpad E470,859,8,2.7,1.87,3
547,Dell XPS 13,1399,8,1.8,1.2,5
548,Dell Vostro 5468,735.87,4,2,1.6,4
549,HP Envy 13-AB020nr,1145,8,2.7,1.34,2
550,Acer Aspire 7,798,8,2.5,2.4,11
551,Asus VivoBook X540YA-XX519T,349,4,1.8,2,3
552,HP ProBook 450,705.5,4,2.4,2.1,15
553,Lenovo ThinkPad E470,785,4,2.5,1.87,8
554,Lenovo V310-15ISK (i5-6200U/4GB/1TB/FHD/No,462.35,4,2.3,2.15,6
555,HP 250 G6,397,4,2,1.86,4
556,Lenovo ThinkPad T570,1729,8,2.7,1.99,9
557,Lenovo IdeaPad 320-15ISK,499,4,2,2.2,18
558,Dell Latitude 5580,1116.99,8,2.5,1.9,8
559,Dell Alienware 17,2699,16,2.8,4.42,18
560,HP 17-X047na (i3-6006U/8GB/1TB/W10),544.15,8,2,2.65,5
561,HP ProBook 470,1280,8,2.7,2.63,14
562,Asus A541NA-GO342 (N3350/4GB/500GB/Linux),224,4,1.1,2,2
563,Mediacom SmartBook 130,255,4,1.44,1.35,2
564,Lenovo IdeaPad 320-17IKB,949,6,2.7,2.8,13
565,HP 15-bw007nv (A10-9620P/6GB/128GB/Radeon,568.9,6,2.5,1.91,2
566,Dell Vostro 3568,617.9,4,2,2.18,17
567,Acer Spin SP111-31,349,4,2,1.25,1
568,Lenovo V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),630,4,2.7,2.05,4
569,HP EliteBook 1030,1965,16,1.2,1.16,4
570,Lenovo Thinkpad P71,2999,8,2.8,3.4,23
571,Asus FX553VD-DM627T (i5-7300HQ/8GB/1TB,839,8,2.5,2.5,16
572,Dell XPS 13,1599,8,1.6,1.21,8
573,Dell Latitude 5580,959,4,2.6,1.93,5
574,Fujitsu Lifebook A557,739,8,2.5,2.2,8
575,Lenovo IdeaPad 320-15IAP,344,4,1.1,2.2,12
576,Lenovo ThinkPad L470,990,4,2.5,2.02,12
577,HP ZBook 17,1860.99,8,2.8,3.14,20
578,HP 14-am079na (N3710/8GB/2TB/W10),389,8,1.6,1.94,1
579,HP 15-cd005nv (A9-9420/6GB/256GB/Radeon,649,6,3,1.95,1
580,Lenovo Thinkpad E570,830,8,2.5,2.3,13
581,Lenovo V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),685,4,1.6,2.05,14
582,Mediacom SmartBook 141,249,4,1.44,1.4,2
583,Toshiba Tecra X40-D-10H,1865,16,2.7,1.24,4
584,Lenovo IdeaPad Y910-17ISK,2663,32,2.7,4.6,2
585,MSI GT73VR Titan,2729,16,2.9,4.14,3
586,Dell Inspiron 3567,749.01,8,2.7,2.2,8
587,Mediacom SmartBook Edge,389,4,1.1,1.45,6
588,Dell Latitude 5580,1008.52,8,2.6,1.9,5
589,HP ProBook 430,719,4,2.4,1.49,2
590,Dell Latitude 5580,1537.39,16,2.8,1.93,1
591,Dell Chromebook 11,295,4,1.6,1.26,3
592,MSI GT80S 6QE,2349,16,2.7,4.5,15
593,HP Omen 17-AN010nv,1498,16,2.8,3.78,7
594,Lenovo Thinkpad T460s,1673,12,2.6,1.4,2
595,Lenovo Ideapad 320-15IKBR,609,12,1.8,2.2,1
596,Asus ROG Strix,1770,8,2.5,2.73,23
597,Asus TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),739,8,2.5,2.2,8
598,Lenovo IdeaPad 320-15ABR,949,12,3.6,2.2,2
599,Dell Inspiron 3179,603,4,1,1.39,6
600,Samsung Notebook Odyssey,1699,16,2.8,2.5,6
601,Lenovo V320-17ISK (i3-6006U/4GB/500GB/FHD/No,529,4,2,2.8,20
602,Lenovo IdeaPad 110-15ISK,459,8,2.3,2.29,2
603,Lenovo ThinkPad Yoga,2025,8,2.7,1.37,11
604,Lenovo Thinkpad T470p,1474,8,2.5,1.7,12
605,Dell Latitude 5289,1670,8,2.5,1.34,8
606,Dell Precision 3520,1763,8,2.8,2.06,5
607,HP EliteBook 850,1219,8,2.7,1.84,6
608,HP ProBook 450,668.48,4,2.4,2.1,14
609,Acer Aspire 1,329,4,1.1,1.6,7
610,MSI Laptop MSI,2199,16,2.7,4.14,13
611,Dell Vostro 3568,465,4,2,2.18,12
612,MSI GS63VR 7RF,2299,16,2.8,1.8,6
613,Toshiba Tecra Z50-C-144,1399,8,2.5,2.2,20
614,Lenovo IdeaPad 310-15IKB,564,6,2.5,2.4,5
615,Lenovo Yoga 720-15IKB,1299,8,2.8,2,3
616,Acer Swift SF114-31-P5HY,349,4,1.6,1.6,5
617,Lenovo Thinkpad P51,4899,32,3.1,2.5,1
618,Dell Inspiron 7559,879.01,16,2.6,2.59,2
619,Dell Vostro 3568,443.9,4,2,2.18,9
620,Dell Inspiron 3567,359,4,2,2.25,4
621,Dell Latitude 5580,869,4,2.6,1.93,4
622,Asus FX753VD-GC007T (i7-7700HQ/8GB/1TB,1168,8,2.8,3,12
623,Dell Vostro 3568,569,4,2.5,2.18,12
624,HP EliteBook 850,1389,8,2.7,1.84,8
625,MSI GT62VR 7RE,2267.86,16,2.8,2.94,13
626,Acer CB5-132T-C9KK (N3160/4GB/32GB/Chrome,379,4,1.6,1.25,4
627,HP ProBook 650,1124,8,2.6,2.31,13
628,Lenovo ThinkPad T470,1465,8,2.3,1.65,11
629,Dell Inspiron 5570,776,4,1.6,2.2,24
630,Fujitsu LifeBook A557,799,8,2.5,2.2,10
631,HP EliteBook 850,932,4,2.3,1.88,9
632,Lenovo IdeaPad 320-15IKB,899,8,2.7,2.2,11
633,Mediacom SmartBook 140,239,2,1.44,1.4,2
634,Lenovo IdeaPad 320-15IKBN,468,4,2.5,2.2,7
635,Asus Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),639.01,6,2.5,1.5,1
636,Dell XPS 15,1820,8,2.8,2,5
637,Asus ZenBook 3,1900,16,2.7,1.1,3
639,Dell Inspiron 7567,1479,16,2.8,2.62,5
640,Lenovo V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),829,4,1.6,1.8,12
641,Lenovo Ideapad 320-15ISK,579,4,2,2.2,20
642,Asus X541NA-GO414T (N3350/8GB/1TB/W10),399,8,1.1,2,2
643,Asus VivoBook Pro,906.62,8,2.5,1.99,7
644,Dell XPS 13,1869,8,1.6,1.23,10
645,Lenovo IdeaPad 100S-14IBR,249,2,1.6,1.42,2
646,Lenovo Thinkpad Yoga,1757.42,8,2.7,1.37,8
647,Dell XPS 15,2399,16,2.8,2.06,8
648,Lenovo Legion Y520-15IKBN,1109,8,2.8,2.5,9
649,HP 17-AK091ND (A9-9420/8GB/1TB/W10),520.9,8,3,2.6,2
650,Lenovo ThinkPad X1,2450,16,2.7,1.14,4
651,Asus ROG GL553VE-FY022,1169,8,2.8,2.5,10
652,Acer Extensa EX2540,450,4,2,2.4,12
653,Lenovo IdeaPad 100S-14IBR,274,4,1.6,1.43,3
654,Acer Swift 3,919,8,2.5,1.8,5
655,Razer Blade Pro,2599,16,2.8,1.95,8
656,Toshiba Portege Z30-C-16J,1213,8,2.3,1.2,4
657,Lenovo Thinkpad X270,1584,8,2.7,1.36,5
658,Asus ROG G701VI,2799,32,2.7,3.8,2
659,Acer A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,709,8,2.5,2.4,9
660,Dell XPS 13,1449.9,8,1.6,1.2,7
661,MSI GL62M 7REX,1191.8,8,2.8,2.2,6
662,HP 250 G6,364.9,4,2,1.86,3
663,Toshiba Tecra A50-D-11M,1064,8,2.5,2,12
664,Dell Inspiron 5570,919,8,1.8,2.2,14
665,Dell Inspiron 5570,1135,16,1.8,2.2,2
666,Lenovo IdeaPad Y700-15ISK,1196,8,2.6,3.31,14
667,Dell Alienware 17,3147.37,32,2.8,4.42,3
668,Dell Latitude E7470,1229,8,2.4,1.56,7
669,Lenovo Ideapad 320-15IAP,419,4,1.1,2.2,15
670,Lenovo IdeaPad 320-15ISK,535,4,2.3,2.2,12
671,HP 15-ay047nv (i3-6006U/6GB/1TB/Radeon,539,6,2,2.04,2
672,MSI GP72VR Leopard,1486.77,8,2.8,2.7,18
673,Toshiba Satellite Pro,498,4,2.1,2.1,9
674,Dell Latitude 3580,955,8,2.5,2.06,12
675,HP 15-bs012nv (i7-7500U/8GB/1TB/Radeon,745,8,2.7,2.1,3
676,Toshiba Tecra Z50-D-10E,1258,8,2.5,2,13
677,Acer Aspire 3,412,4,2,2.1,7
678,Microsoft Surface Laptop,1867.85,8,2.8,1.252,2
679,Lenovo V310-15ISK (i5-7200U/8GB/1TB,817.95,8,2.5,1.9,5
680,Lenovo Yoga 720-13IKB,1034,8,2.5,1.3,3
681,Lenovo IdeaPad 320-15AST,349,4,2.2,2.2,2
682,HP Pavilion X360,699,4,2.4,1.63,3
683,MSI GP62 7RDX,1294,16,2.8,2.4,3
684,Asus Zenbook 3,1135,8,2.5,1.1,2
685,HP Chromebook X360,495,8,1.1,1.4,1
686,LG Gram 15Z975,2299,8,1.8,1.09,4
687,Acer Aspire VX5-591G,1299,16,2.5,2.5,4
688,MSI GV62M 7RD,997.9,8,2.5,2.2,14
689,Asus L502NA-GO052T (N3350/4GB/128GB/W10),419,4,1.1,1.86,9
690,Dell Alienware 15,2051,16,2.5,3.21,12
691,HP 17-bs000nv I3,699,4,2,2.5,22
692,Lenovo Yoga 730,1499,8,1.8,1.19,5
693,Dell Alienware 15,2813.75,16,2.9,3.49,3
694,HP 250 G6,612.61,4,2.5,1.86,7
695,Dell Inspiron 3567,545.67,4,2,2.2,19
696,HP 17-Y002nv (A10-9600P/6GB/2TB/Radeon,569,6,2.4,2.65,6
697,Lenovo V110-15ISK (3855U/4GB/500GB/W10),318,4,1.6,2.1,6
698,Acer Chromebook 14,375,4,1.6,1.45,5
699,Lenovo IdeaPad 520s-14IKB,699,4,2.5,1.7,3
700,HP ZBook 17,1907.99,8,2.8,3.14,21
701,Lenovo ThinkPad X1,2590,8,2.7,1.42,12
702,Toshiba Satellite Pro,973,8,2.5,1.5,5
703,Acer TravelMate B117-M,269,4,1.6,1.4,2
704,Lenovo Yoga 910-13IKB,1749,16,2.7,1.38,3
705,Asus Chromebook Flip,669,4,0.9,1.2,5
706,Toshiba Portege Z30T-C-133,1877,16,2.5,1.36,5
707,HP 15-bs011nv (i7-7500U/4GB/500GB/Radeon,689,4,2.7,2.1,6
708,Dell Inspiron 5577,819,8,2.5,2.56,15
709,Lenovo IdeaPad 320-15AST,399,4,2.9,2.2,2
710,Lenovo IdeaPad 320-15ABR,429,8,3.6,2.2,1
711,Lenovo V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),621.45,4,2.5,2.1,13
712,Lenovo V310-15ISK (i3-6006U/4GB/500GB/No,450,4,2,1.9,7
713,Dell Vostro 5568,795,8,2.5,2.18,9
714,Acer Spin 5,999,8,1.6,1.6,6
715,Lenovo ThinkPad P51s,1855,16,2.5,2.18,6
716,Lenovo Thinkpad T460p,1191,8,2.3,1.8,10
717,HP 17-ak002nv (A10-9620P/6GB/2TB/Radeon,655.01,6,2.5,2.71,9
718,Lenovo Legion Y520-15IKBN,1249,8,2.8,2.5,12
719,Dell Latitude 5480,1089,8,2.8,1.64,1
720,Dell Vostro 5568,726,8,2.5,1.98,6
721,Asus VivoBook E403NA,298,4,1.1,1.5,6
722,Dell Latitude 5580,1426.66,16,2.6,1.93,2
723,Lenovo Thinkpad E470,857.07,8,2.5,1.87,4
724,Dell Latitude 5580,1179,8,2.6,1.9,6
725,Lenovo 110-15ACL (A6-7310/4GB/500GB/W10),298,4,2,2.19,2
726,Mediacom Smartbook 142,265,4,1.92,1.4,1
727,HP ProBook 470,1200,8,2.7,2.63,13
728,Lenovo ThinkPad X1,1686.64,8,2.5,1.17,4
729,HP Pavilion X360,836.6,8,2.5,1.58,2
730,Lenovo ThinkPad T470s,1499,8,2.5,1.32,7
731,Dell Alienware 17,3659.4,32,2.8,4.36,2
732,MSI GL72M 7REX,1348.48,8,2.8,2.7,15
733,Lenovo V310-15IKB (i5-7200U/4GB/1TB/No,489.9,4,2.5,1.9,7
734,Dell Inspiron 5570,719,8,1.6,2.2,10
735,Dell Inspiron 5378,649,4,2.4,1.71,3
736,Dell Inspiron 5567,589.52,8,2.5,2.32,6
737,HP 15-BW037na (A9-9420/4GB/1TB/Radeon,489,4,3,2.1,5
738,Acer Predator 17,1935,16,2.6,4.2,12
739,Dell Inspiron 3567,649,12,2.5,2.25,1
740,HP 15-BW091ND (A9-9420/6GB/1TB,650,6,3,2.1,2
741,Acer Extensa EX2540-58KR,559,4,2.5,2.4,13
742,Lenovo ThinkPad 13,960,8,2.5,1.44,3
743,Lenovo V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),779,4,2.7,1.85,3
744,HP ZBook 15,2419,16,2.8,2.6,9
745,Dell Inspiron 5379,659,8,1.6,1.55,2
746,MSI GS63VR 7RF,2094.48,16,2.8,1.8,4
747,Acer Aspire ES1-572,410.8,4,2,2.4,8
748,Dell Inspiron 7560,1207,8,2.7,2,7
749,Dell Vostro 3568,665,8,2,2,5
750,Toshiba Tecra X40-D-10G,1535,8,2.5,1.25,5
751,Lenovo Flex 5,999,8,2.5,1.7,7
752,Lenovo Thinkpad P51s,3299,16,2.8,2.5,11
753,Acer Chromebook 14,330,2,1.6,1.68,5
754,Samsung Notebook 9,1649,16,2.7,0.81,1
755,HP 250 G6,539,8,2,1.86,1
757,Dell Latitude 5480,1126.71,8,2.5,1.6,8
758,HP Zbook 17,4389,16,2.9,3,2
759,Lenovo N23 (N3060/4GB/128GB/W10),475,4,1.6,1.4,7
760,HP EliteBook 850,1900,8,2.4,1.84,14
761,Asus X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,579,4,2.3,2.45,14
762,Lenovo Thinkpad T460,1096,4,2.3,1.7,9
763,Asus Pro P2540UA-XO0192R,849.9,4,2.7,2.37,11
764,Lenovo Yoga 900-13ISK,1199,8,1.8,1.3,5
765,HP 15-cb003na (i5-7300HQ/8GB/1TB,1099,8,2.5,2.2,18
766,HP ZBook 15,1561,8,2.6,2.59,15
767,Dell Alienware 17,2868.99,16,2.8,4.42,19
768,Acer Aspire 3,599,4,2.5,2.1,12
769,Lenovo Legion Y520-15IKBN,1048,8,2.8,2.5,8
770,Dell Latitude 7280,1859,16,2.8,1.18,1
771,Google Pixelbook (Core,1559,8,1.2,1.1,5
772,Asus Zenbook UX330UA-AH5Q,1129,8,2.5,1.2,2
773,Dell Latitude 3380,849,4,2,1.65,6
774,Acer TravelMate P238-M,655,4,2.3,1.6,3
775,Asus X751NV-TY001 (N4200/4GB/1TB/GeForce,470.34,4,1.1,2.8,17
776,Dell Inspiron 7559,1099,16,2.6,2.72,4
777,Samsung Notebook 9,1599,8,2.7,1.31,5
778,Acer Aspire A315-31,298,4,1.1,2.1,7
779,Dell Inspiron 5567,1181.27,16,2.7,2.3,2
780,Samsung Notebook 9,1799,16,2.7,1.71,4
781,Toshiba Tecra A40-C-1E5,1020,4,2.3,1.75,9
782,Dell Inspiron 7567,1099,8,2.8,2.62,10
783,HP EliteBook 820,1244,4,2.3,1.26,5
784,Asus Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,839,12,2.7,2.3,3
785,Lenovo Thinkpad P50,2370,16,2.7,2.5,8
786,Acer Swift 3,636,4,2.4,1.8,4
787,Razer Blade Pro,2899,16,2.8,1.95,9
788,Asus Vivobook Max,581.9,8,1.1,2,3
789,Dell Alienware 17,3588.8,32,2.8,4.42,5
790,Asus Rog G752VS-BA171T,2350,16,2.6,4.3,16
791,Toshiba Tecra Z40-C-161,1764,16,2.6,1.47,4
792,Lenovo IdeaPad 110-15IBR,329,8,1.6,2.2,1
793,Lenovo ThinkPad T470s,2299,16,2.7,1.7,6
794,MSI GS43VR 7RE,1891,16,2.8,1.6,2
795,MSI GL62M (i5-7300HQ/8GB/1TB,1089,8,2.5,2.2,17
796,Lenovo Legion Y520-15IKBN,999,4,2.8,2.4,6
797,Acer Predator G9-793,2299,16,2.8,4.2,14
798,Dell Inspiron 7567,985,8,2.5,2.62,19
799,Asus FX502VM-DM560T (i7-7700HQ/8GB/1TB,1339,8,2.8,2.24,8
800,Vero K146 (N3350/4GB/32GB/W10),202.9,4,1.1,1.22,1
801,Lenovo ThinkPad Yoga,1970,8,2.7,1.37,10
802,Lenovo Yoga 510-15IKB,959,8,2.5,2.08,13
803,Apple ""MacBook 12"""""",1165,8,1.2,0.92,1
804,Lenovo ThinkPad X1,2330,8,2.5,1.42,12
805,Asus R417NA-RS01 (N3350/4GB/32GB/W10),299,4,1.1,1.63,7
806,Dell Latitude 3580,810,8,2.5,1.95,5
807,Lenovo Yoga 910-13IKB,1349,8,2.7,1.38,4
808,Dell Vostro 5568,739,8,2,2,7
809,HP ZBook 17,2064.9,8,2.8,3.14,22
810,Asus Pro P2540UA-XS51,1099,8,2.5,2.37,19
811,Dell XPS 13,1499,8,2.5,1.29,6
812,Dell XPS 15,1749,8,2.5,2.06,14
813,Dell Latitude 3180,744,4,1.1,1.63,11
814,HP EliteBook 820,1389,8,2.6,1.26,3
815,Toshiba Satellite Pro,780,4,2.3,2.1,16
816,HP 15-ba043na (A12-9700P/8GB/2TB/W10),629,8,2.5,2.04,5
817,Dell Inspiron 7567,1679,16,2.8,2.62,6
818,Lenovo IdeaPad 310-15IKB,609,4,2.5,2.4,16
819,HP Omen 17-an012dx,1749,12,2.8,3.74,11
820,MSI GE72MVR 7RG,2415,16,2.8,2.9,13
821,Samsung Notebook 9,1499,8,2.5,0.81,1
822,Dell Vostro 5568,961,8,2.7,1.98,5
823,Dell Vostro 3568,789.81,8,2.5,2.18,8
824,Lenovo Thinkpad T470s,1859,8,2.7,1.32,6
825,Razer Blade Stealth,1799,16,2.5,1.29,3
826,HP Chromebook 11,385,4,1.6,1.23,3
827,Dell Alienware 17,2505.02,16,2.8,4.36,17
828,Dell Latitude 3480,755,4,2.3,1.76,4
829,Lenovo V110-15ISK (i3-6006U/4GB/500GB/W10),489.9,4,2,2.1,13
830,Toshiba Tecra X40-D-10Z,1090,4,2.5,1.25,3
831,Lenovo Thinkpad X1,2499,8,2.7,1.13,7
832,MSI GL62M 7RD,1199,8,2.5,2.4,20
833,Lenovo ThinkPad X1,1875,8,2.5,1.13,5
834,Toshiba Satellite Pro,499,4,2.1,1.75,2
835,Asus ZenBook Flip,1358,8,2.5,1.1,3
836,Dell Latitude 3480,585,4,2,1.76,3
837,Acer Chromebook 11,355,4,1.6,1.35,4
838,Acer Swift 3,619,8,2.4,1.5,1
839,Razer Blade Pro,5499,32,2.9,3.49,2
840,Lenovo Thinkpad X1,2099,16,2.6,1.1,4
841,Asus VivoBook Max,519,4,2.5,2.1,10
842,Lenovo Thinkpad T460,1186,8,2.3,1.7,9
843,Lenovo ThinkPad T470s,1650,8,2.6,1.32,6
844,Dell Alienware 15,2774.63,16,2.8,3.21,15
845,Asus Rog GL702VS-BA023T,2419,16,2.8,2.9,14
846,Toshiba Satellite Pro,669,4,2.4,2,12
847,Lenovo N42-20 Chromebook,325,4,1.6,1.5,4
848,Asus R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),590,8,2.5,2.3,6
849,Asus Rog GL702VM-GC017T,1799,16,2.6,2.73,9
851,Dell Alienware 17,3072.89,32,2.8,4.42,2
852,HP ProBook 470,910,8,2.5,2.63,19
853,Dell Vostro 3568,713.99,8,2.5,2.18,6
854,HP EliteBook 840,1870,8,2.5,1.54,11
855,Dell Vostro 3568,739,4,2.7,2.18,7
856,HP Chromebook X360,615,4,1.1,1.4,9
857,Asus ZenBook UX310UQ-GL026T,1026,8,2.3,1.45,4
858,HP EliteBook x360,2277,8,2.5,1.28,7
859,HP EliteBook 840,1468,8,2.5,1.54,7
860,HP 250 G6,299,4,1.6,1.86,5
862,Asus Rog GL502VM-DS74,1899,16,2.8,2.1,5
863,Dell Inspiron 5767,865,8,2.7,2.83,11
864,Lenovo ThinkPad T470p,1903,8,2.8,1.96,4
865,Asus K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,787,8,2.7,2.3,9
866,Dell Latitude 5580,945,8,2.5,1.9,7
867,Asus X541NA (N4200/4GB/1TB/W10),449,4,1.1,2,12
868,HP EliteBook x360,2559,8,2.8,1.28,3
869,Dell Inspiron 5368,649,8,2.3,1.62,2
870,Lenovo IdeaPad 110-15ISK,469,4,2,2.2,14
871,Lenovo ThinkPad E570,850.66,8,2.5,2.3,14
872,HP EliteBook 850,1349,8,2.6,1.84,8
873,Toshiba Portege X30-D-10X,1285,4,2.5,1.05,1
874,Lenovo Legion Y520-15IKBN,1017,8,2.5,2.5,19
875,Dell XPS 13,2240,16,2.5,1.29,5
876,HP Probook 450,910,4,2.3,2.07,15
877,Toshiba Portégé Z30-C-188,1095,8,2.3,1.2,2
878,Lenovo ThinkPad Yoga,1950,8,2.7,1.37,9
879,Acer TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),902,8,2.5,1.56,2
880,Dell Precision 3520,1778,8,2.8,2.23,8
881,Lenovo ThinkPad L570,1055,4,2.5,2.38,19
882,Lenovo IdeaPad 110-15ISK,479,4,2,2.2,15
883,Toshiba Tecra A50-D-11D,1388,8,2.7,2,11
884,Lenovo Thinkpad 13,735,4,2.4,1.44,2
885,Samsung Notebook 9,1849,16,2.7,1.23,3
886,Dell Latitude 7280,1690,8,2.8,1.6,3
887,Asus X541NA-GO121 (N4200/4GB/1TB/Linux),398.99,4,1.1,2,11
888,Xiaomi Mi Notebook,935,8,2.3,1.28,2
889,Dell Vostro 5568,912.5,4,2.5,2.18,17
890,HP ProBook 450,839,4,2.5,2.04,13
891,HP EliteBook x360,1700,4,2.5,1.28,8
892,HP Pavilion x360,684.8,4,2.5,2.3,17
